,rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees,profited,rank_change
0,1,Walmart,572754.0,2.4,13673.0,1.2,244860.0,409795.0,-,2300000,1,1
1,2,Amazon,469822.0,21.7,33364.0,56.4,420549.0,1658807.3,-,1608000,1,1
2,3,Apple,365817.0,33.3,94680.0,64.9,351002.0,2849537.6,-,154000,1,1
3,4,CVS Health,292111.0,8.7,7910.0,10.2,232999.0,132839.2,-,258000,1,1
4,5,UnitedHealth Group,287597.0,11.8,17285.0,12.2,212206.0,479830.3,-,350000,1,1
6,7,Berkshire Hathaway,276094.0,12.5,89795.0,111.2,958784.0,779542.3,-1,372000,1,1
7,8,Alphabet,257637.0,41.2,76033.0,88.8,359268.0,1842326.1,1,156500,1,0
8,9,McKesson,238228.0,3.1,-4539.0,-604.3,65015.0,45857.8,-2,67500,0,1
10,11,Costco Wholesale,195929.0,17.5,5007.0,25.1,59268.0,255230.7,1,288000,1,0
11,12,Cigna,174078.0,8.5,5365.0,-36.6,154889.0,76286.3,1,72963,1,0
13,14,Microsoft,168088.0,17.5,61271.0,38.4,333779.0,2311358.9,1,181000,1,0
16,17,Home Depot,151157.0,14.4,16433.0,27.7,71876.0,309312.6,1,490600,1,0
17,18,Walgreens Boots Alliance,148579.0,6.5,2542.0,457.5,81285.0,38671.1,-2,258500,1,1
19,20,Elevance Health,138639.0,13.8,6104.0,33.5,97460.0,118533.5,3,98200,1,0
20,21,Kroger,137888.0,4.1,1655.0,-36.0,49086.0,41496.2,-4,420000,1,1
22,23,Verizon Communications,133613.0,4.1,22065.0,24.0,366596.0,213837.1,-3,118400,1,1
23,24,JPMorgan Chase,127202.0,-1.8,48334.0,65.9,3743567.0,402526.9,-5,271025,1,1
24,25,General Motors,127004.0,3.7,10019.0,55.9,244718.0,63555.2,-3,157000,1,1
25,26,Centene,125982.0,13.4,1347.0,-25.5,78375.0,49072.2,-2,72500,1,1
26,27,Meta Platforms,117929.0,37.2,39370.0,35.1,165987.0,605251.0,7,71970,1,0
27,28,Comcast,116385.0,12.4,14159.0,34.4,275905.0,212245.8,-2,189000,1,1
30,31,Dell Technologies,106995.0,13.6,5563.0,71.2,92735.0,38164.4,-3,133000,1,1
31,32,Target,106005.0,13.3,6946.0,59.0,53811.0,98134.4,-2,450000,1,1
32,33,Fannie Mae,101543.0,-4.6,22176.0,87.9,4229166.0,909.1,-8,7400,1,1
